id,part,upc,cost,new upc
371,18/1 STRANDED SHIELDED w/DRAIN,61282521513,0,7940783166
1539,18/2 THERMOSTAT WIRE,2989235379,0,7940783166
1140,1X 2 GALV NIPPLE,86692000462,0,78217201261
2947,3 WAY OR SINGLE POLE DECORA SWITCH SIDE SLIDE DIMMER 600 WATT w/ MULTI COLOR FACE KIT LIGHT ALMOND WHITE IVORY,32664760723,0,27557688130
193,3/4 90 DEGREE BELBOW END ELBOW,3448115757,0,
1849,ADV 71A5570001D MH BAL 175W M57 QUAD KIT,ï»¿78108709643,0,781087096437
2258,COPPER SOLID ARMORED (MC) CABLE #12-2,32886347146,0,32886347429
2201,PANEL BOARD SURFACE TRIM 20in X 48in,78211693422,0,
3222,PHOTO/ION DUAL SENSOR HUSH 120V AC/DC,47871217306,0,47871079155
253,PVC 2in SCHEDULE 80,67064823537,0,8870006306
197,"SCHEDULE 80 HEAVY WALL PVC CONDUIT, 10' LENGTHS WITH COUPLING 2-1/2""",3448123541,0,8870006307
2122,SMOKE/CARBON DETECTOR,2905451301,0,4787116377
1943,THHN STRANDED COPPER 1/0 GREEN,32886098185,0,
2177,THHN STRANDED COPPER 2 BROWN,32886951305,0,
2178,THHN STRANDED COPPER 2 ORANGE,32886951312,0,
2247,THHN STRANDED COPPER 3/0 BROWN,32886901652,0,
2241,THHN STRANDED COPPER 3/0 GREEN,32886901645,0,
2248,THHN STRANDED COPPER 3/0 ORANGE,32886901669,0,
2249,THHN STRANDED COPPER 3/0 YELLOW,32886901676,0,
1944,THHN STRANDED COPPER 4/0 GREEN,32886872952,0,
1573,THHN STRANDED COPPER 6 BLACK,32886857294,0,
2179,THHN STRANDED COPPER 6 BROWN,32886959714,0,
1603,THHN STRANDED COPPER 8 BLACK,32886050565,0,
1612,THHN STRANDED COPPER 8 GREEN,32886951480,0,
2265,WEATHERPROOF 2G GRAY VERTICAL IN-USE COVER EXTRA DUTY LOCKABLE,92326104838,0,78500732094